sgf,sample_source,side,player,fox_rank,actual_rank_text,actual_rank_value,actual_group,model_rank_value,model_group,metric_rank_reassigned,metric_reassignment_method,metric_adjusted_rank_value,metric_adjusted_group,metric_nearest_rank_value,metric_nearest_group,metric_cluster_id,metric_cluster_k,metric_cluster_collection_class,metric_cluster_rank_median,metric_cluster_group,metric_cluster_distance,metric_cluster_second_distance,metric_cluster_margin,metric_cluster_radius_p90,metric_cluster_distance_ratio,metric_cluster_reassigned,twelve_d_style_rule_hit,twelve_d_style_rule_reassigned,metric_original_rank_distance,metric_nearest_rank_distance,metric_reassignment_margin,metric_reassignment_reason,strength,estimated_rank_value,estimated_group,numeric_error,samples,max_visits,quality_score,first_choice_rate,top3_rate,top5_rate,outside_top5_rate,average_ai_rank,excellent_rate,great_rate,good_move_rate,inaccuracy_rate,match_rate,mistake_rate,average_difficulty,weighted_point_loss,average_score_loss,average_score_equivalent_loss,median_score_loss,p75_score_equivalent_loss,p90_score_equivalent_loss,p95_score_equivalent_loss,max_score_equivalent_loss,loss_stddev,average_winrate_loss,bad_move_rate,blunder_rate,opening_samples,middlegame_samples,endgame_samples,opening_weighted_loss,middlegame_weighted_loss,endgame_weighted_loss,opening_good_move_rate,middlegame_good_move_rate,endgame_good_move_rate,robust_metric_distance,statistical_outlier,nearest_metric_group,actual_metric_distance,nearest_metric_distance,rank_mismatch_candidate,residual_core_four_outlier,residual_core_four_metric,residual_core_four_direction,residual_core_four_robust_z,residual_core_four_abs_robust_z,residual_core_four_value,residual_core_four_class_median
2022-08-13_154950_悲伤花裤衩_vs_七七wink_1660376990030021592.sgf,fox_dan,B,悲伤花裤衩,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,7,high_dan,6,12,7d-fox,7.0,high_dan,2.756,2.946,0.191,2.791,0.987,False,False,False,0.723,0.53,0.193,,5-6d,5.5,mid_dan,0.5,60,48,78.743,0.5667,0.8,0.8333,0.1667,2.867,0.6167,0.0667,0.7833,0.1,0.6958,0.1167,45.5,2.091,1.184,1.184,0.0,0.713,4.241,7.26,11.907,2.552,0.871,0.2167,0.0167,30,30,0,2.896,1.703,2.091,0.8333,0.7333,0.7833,1.251,False,high_dan,0.76,0.527,False,False,,,,,,
2022-08-13_154950_悲伤花裤衩_vs_七七wink_1660376990030021592.sgf,fox_dan,W,七七wink,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,3.966,4.064,0.098,7.196,0.551,False,False,False,0.899,0.868,0.031,,3-4d,3.5,low_dan,-1.5,59,48,68.817,0.4407,0.6271,0.7288,0.2712,3.847,0.5932,0.0678,0.661,0.2203,0.5839,0.1186,34.9,3.751,1.808,1.808,0.056,1.93,4.801,11.104,19.527,3.798,2.026,0.339,0.0678,30,29,0,5.039,2.848,3.751,0.6333,0.6897,0.661,1.042,False,mid_dan,0.894,0.894,False,False,,,,,,
2024-02-15_201931_V500149747_vs_ynt2021_1707999571030022147.sgf,fox_dan,B,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.567,2.749,0.181,7.433,0.345,False,False,False,0.587,0.563,0.024,,1-2k,-1.5,kyu_level,-2.5,60,48,58.659,0.3,0.4333,0.5,0.5,5.767,0.35,0.0667,0.5333,0.25,0.4533,0.2167,44.9,3.482,2.108,2.108,1.006,3.122,6.597,7.829,8.701,2.544,7.732,0.4667,0.0,30,30,0,2.139,4.14,3.482,0.6667,0.4,0.5333,0.365,False,low_dan,0.594,0.594,False,False,,,,,,
2024-02-15_201931_V500149747_vs_ynt2021_1707999571030022147.sgf,fox_dan,W,ynt2021,6段,6段,6,mid_dan,6,mid_dan,False,,6,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,1.765,1.865,0.1,7.433,0.237,False,False,False,0.724,0.388,0.336,,1-2k,-1.5,kyu_level,-7.5,60,48,66.44,0.25,0.55,0.6,0.4,5.05,0.35,0.05,0.6,0.2167,0.4642,0.1833,48.2,2.954,1.97,1.97,0.934,1.936,7.37,7.845,10.55,2.698,7.06,0.4,0.0167,30,30,0,1.652,3.749,2.954,0.7,0.5,0.6,0.625,False,low_dan,0.518,0.464,False,False,,,,,,
2024-02-15_202950_V195206069_vs_V500149747_1708000190030011745.sgf,fox_dan,B,V195206069,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.763,2.851,0.088,7.433,0.372,False,False,False,0.718,0.604,0.114,,1-2k,-1.5,kyu_level,-6.5,90,48,59.59,0.2444,0.4222,0.5,0.5,5.767,0.3444,0.0667,0.5556,0.3778,0.4533,0.0667,35.8,2.547,1.55,1.55,1.012,1.945,3.461,4.172,25.314,2.93,3.265,0.4444,0.0111,30,50,10,1.364,2.785,2.997,0.8,0.42,0.5,0.94,False,low_dan,0.693,0.679,False,False,,,,,,
2024-02-15_202950_V195206069_vs_V500149747_1708000190030011745.sgf,fox_dan,W,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.241,2.415,0.174,7.433,0.301,False,False,False,0.564,0.472,0.092,,3-5k,-4.0,kyu_level,-5.0,90,48,47.708,0.2333,0.4111,0.5556,0.4444,5.456,0.3667,0.0889,0.5222,0.3778,0.43,0.1,27.9,2.834,1.727,1.727,0.912,2.542,4.011,4.817,15.879,2.467,3.731,0.4778,0.0222,30,50,10,1.439,3.268,3.131,0.7,0.44,0.4,0.654,False,low_dan,0.534,0.534,False,False,,,,,,
2024-02-15_212733_monkey21_vs_V500149747_1708003653030001358.sgf,fox_dan,B,monkey21,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,3,low_dan,3,12,4d-fox,4.0,mid_dan,2.583,2.603,0.02,7.196,0.359,False,False,False,0.581,0.552,0.029,,3-5k,-4.0,kyu_level,-8.0,90,48,48.255,0.2889,0.4778,0.5,0.5,5.667,0.3778,0.0889,0.5444,0.3,0.4594,0.1556,27.9,3.146,1.791,1.791,0.92,3.034,4.79,5.35,9.079,2.108,9.845,0.4556,0.0,30,50,10,2.531,3.366,2.731,0.7667,0.4,0.6,0.892,False,mid_dan,0.626,0.626,False,False,,,,,,
2024-02-15_212733_monkey21_vs_V500149747_1708003653030001358.sgf,fox_dan,W,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.92,3.055,0.135,7.439,0.393,False,False,False,0.615,0.615,0.0,,6-10k,-8.0,kyu_level,-9.0,90,48,39.49,0.2,0.3333,0.4,0.6,6.711,0.2778,0.0667,0.4778,0.3222,0.385,0.2,29.5,3.47,2.196,2.196,1.309,3.347,5.136,6.035,19.619,2.719,10.563,0.5222,0.0111,30,50,10,2.088,3.496,5.443,0.7667,0.3,0.5,0.809,False,low_dan,0.675,0.675,False,False,,,,,,
2024-02-15_214335_V500149747_vs_恋情挽人_1708004615030044087.sgf,fox_dan,B,V500149747,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.901,2.976,0.075,7.433,0.39,False,False,False,0.758,0.571,0.187,,1-2k,-1.5,kyu_level,-2.5,62,48,53.246,0.2581,0.3548,0.4032,0.5968,6.435,0.4194,0.1129,0.5806,0.3226,0.4677,0.0968,26.4,2.812,1.519,1.519,0.572,2.599,3.952,4.554,14.235,2.258,4.346,0.4194,0.0161,30,32,0,1.202,3.247,2.812,0.8333,0.3438,0.5806,0.828,False,mid_dan,0.698,0.603,False,False,,,,,,
2024-02-15_214335_V500149747_vs_恋情挽人_1708004615030044087.sgf,fox_dan,W,恋情挽人,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,8,high_dan,6,12,7d-fox,7.0,high_dan,1.534,2.028,0.494,2.791,0.55,False,False,False,1.341,0.343,0.998,,3-4d,3.5,low_dan,2.5,62,48,73.594,0.4032,0.5806,0.6613,0.3387,4.371,0.5484,0.0968,0.7742,0.1935,0.6266,0.0323,19.5,1.373,0.675,0.675,0.065,1.127,2.017,2.381,4.657,1.008,3.629,0.2258,0.0,30,32,0,1.802,1.198,1.373,0.8333,0.7188,0.7742,1.358,False,high_dan,1.236,0.355,False,False,,,,,,
2024-03-09_100944_七七wink_vs_野狐高段4D_1709950184030009779.sgf,fox_dan,B,七七wink,5段,5段,5,mid_dan,5,mid_dan,False,,5,mid_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,2.659,2.724,0.065,7.966,0.334,False,False,False,1.045,0.555,0.49,,1-2k,-1.5,kyu_level,-6.5,90,48,53.544,0.3333,0.4222,0.5778,0.4222,5.378,0.4111,0.0556,0.5556,0.2333,0.4789,0.2111,38.9,4.747,2.67,2.67,0.912,3.063,7.512,12.316,23.183,4.729,0.986,0.4444,0.0778,30,50,10,1.912,4.945,6.422,0.8333,0.44,0.3,1.083,False,low_dan,0.996,0.582,False,False,,,,,,
2024-03-09_100944_七七wink_vs_野狐高段4D_1709950184030009779.sgf,fox_dan,W,野狐高段4D,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,3,low_dan,1,12,2d-fox,2.0,low_dan,5.074,5.146,0.073,7.966,0.637,False,False,False,1.075,1.069,0.006,,3-4d,3.5,low_dan,-0.5,90,48,68.715,0.4444,0.6111,0.6667,0.3333,4.267,0.4889,0.1333,0.7222,0.0889,0.6061,0.1889,39.0,4.747,2.333,2.333,0.32,1.788,8.498,14.872,22.616,4.641,0.503,0.2778,0.0889,30,50,10,0.344,5.063,6.116,1.0,0.6,0.5,1.17,False,low_dan,1.113,1.066,False,False,,,,,,
2024-07-02_192544_拾光1314_vs_娇心_1719919544030052215.sgf,fox_dan,B,拾光1314,1段,1段,1,low_dan,1,low_dan,False,,1,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.344,2.423,0.079,7.439,0.315,False,False,False,0.488,0.488,0.0,,1-2k,-1.5,kyu_level,-2.5,79,48,51.503,0.3038,0.3924,0.443,0.557,6.203,0.3671,0.0759,0.5316,0.2532,0.4544,0.2152,37.8,3.324,2.078,2.078,1.004,3.403,5.475,7.724,15.02,2.817,3.978,0.4684,0.0127,30,49,0,3.461,3.275,3.324,0.6667,0.449,0.5316,0.497,False,low_dan,0.514,0.514,False,False,,,,,,
2024-07-02_192544_拾光1314_vs_娇心_1719919544030052215.sgf,fox_dan,W,娇心,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,1.727,1.829,0.102,5.608,0.308,False,False,False,0.528,0.377,0.151,,3-4d,3.5,low_dan,0.5,78,48,70.779,0.3333,0.5641,0.6538,0.3462,4.667,0.4615,0.0641,0.641,0.2436,0.5269,0.1154,42.4,2.594,1.558,1.558,0.331,1.959,4.066,7.51,17.47,2.725,3.707,0.359,0.0128,30,48,0,3.332,2.213,2.594,0.6667,0.625,0.641,0.721,False,mid_dan,0.72,0.384,False,False,,,,,,
2024-07-03_201505_野狐高段9D_vs_百年树w_1720008905030009247.sgf,fox_dan,W,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,1.283,1.371,0.087,7.966,0.161,False,False,False,0.378,0.258,0.12,,1-2k,-1.5,kyu_level,-4.5,90,48,54.459,0.2556,0.5444,0.6333,0.3667,4.789,0.4111,0.0556,0.5333,0.2556,0.4339,0.2111,41.0,4.072,2.432,2.432,0.916,3.565,6.944,9.613,14.92,3.357,0.716,0.4667,0.0444,30,50,10,2.166,4.767,2.669,0.7667,0.42,0.4,0.349,False,low_dan,0.257,0.257,False,False,,,,,,
2024-07-04_125953_百年树w_vs_野狐高段9D_1720069193030009892.sgf,fox_dan,B,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,1.568,1.64,0.072,7.966,0.197,False,False,False,0.566,0.33,0.235,,1-2d,1.5,low_dan,-1.5,76,48,64.076,0.3158,0.4737,0.5526,0.4474,5.395,0.3553,0.0526,0.5395,0.2632,0.4651,0.1974,52.6,3.901,2.536,2.536,1.018,3.128,7.715,11.748,17.198,3.894,0.512,0.4605,0.0658,30,46,0,2.062,4.522,3.901,0.8,0.3696,0.5395,0.378,False,low_dan,0.359,0.359,False,False,,,,,,
2024-07-05_202315_百年树w_vs_JSW69_1720182195030001275.sgf,fox_dan,B,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,4.731,4.771,0.04,7.433,0.636,False,False,False,0.978,0.978,0.0,,3-5k,-4.0,kyu_level,-7.0,90,48,50.742,0.2,0.2889,0.3667,0.6333,6.778,0.2778,0.1111,0.5556,0.4444,0.44,0.0,22.7,1.768,1.175,1.175,0.986,1.774,2.87,3.215,3.894,1.092,1.634,0.4444,0.0,30,50,10,1.615,1.744,2.109,0.7333,0.46,0.5,1.233,False,mid_dan,1.06,1.022,False,False,,,,,,
2024-07-05_202315_百年树w_vs_JSW69_1720182195030001275.sgf,fox_dan,W,JSW69,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,3.451,3.632,0.181,5.608,0.615,False,False,False,0.787,0.736,0.051,,1-2k,-1.5,kyu_level,-4.5,90,48,59.725,0.2556,0.4444,0.5,0.5,5.9,0.3556,0.1111,0.6222,0.3444,0.4917,0.0333,29.2,1.756,1.076,1.076,0.778,1.678,2.664,3.252,5.977,1.247,1.248,0.3778,0.0,30,50,10,1.196,1.868,1.858,0.8,0.58,0.3,0.946,False,mid_dan,0.948,0.751,False,False,,,,,,
2024-07-05_203833_四明狂人_vs_百年树w_1720183113030032799.sgf,fox_dan,B,四明狂人,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.573,3.748,0.175,7.439,0.48,False,False,False,1.065,0.843,0.221,,6-10k,-8.0,kyu_level,-11.0,90,48,36.451,0.1889,0.2889,0.3556,0.6444,7.056,0.2667,0.0667,0.4333,0.3778,0.3611,0.1889,30.2,3.577,2.35,2.35,1.777,3.494,5.802,6.951,15.521,2.677,14.413,0.5667,0.0222,30,50,10,3.257,3.881,1.122,0.6,0.28,0.7,1.078,False,low_dan,0.934,0.934,False,False,,,,,,
2024-07-05_203833_四明狂人_vs_百年树w_1720183113030032799.sgf,fox_dan,W,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.29,3.434,0.144,7.439,0.442,False,False,False,0.899,0.722,0.177,,6-10k,-8.0,kyu_level,-11.0,90,48,33.836,0.1556,0.3444,0.4333,0.5667,6.633,0.2444,0.0667,0.4444,0.3,0.3444,0.2556,30.2,3.729,2.426,2.426,1.478,4.243,5.983,7.293,10.186,2.497,14.789,0.5556,0.0111,30,50,10,3.01,4.255,1.471,0.6333,0.3,0.6,0.933,False,low_dan,0.799,0.799,False,False,,,,,,
2024-07-05_204836_G531490976_vs_百年树w_1720183716030034896.sgf,fox_dan,B,G531490976,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,6,mid_dan,5,12,6d-fox,6.0,mid_dan,2.774,2.959,0.185,6.078,0.456,False,False,False,0.788,0.557,0.231,,1-2d,1.5,low_dan,-1.5,64,48,67.532,0.5625,0.6719,0.7188,0.2812,3.812,0.6094,0.0469,0.7188,0.0938,0.6578,0.1875,41.0,3.477,1.862,1.862,0.0,1.673,6.962,8.388,22.913,3.825,1.884,0.2812,0.0312,30,34,0,1.502,4.322,3.477,0.8333,0.6176,0.7188,1.21,False,mid_dan,0.953,0.611,False,False,,,,,,
2024-07-05_204836_G531490976_vs_百年树w_1720183716030034896.sgf,fox_dan,W,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,1,12,2d-fox,2.0,low_dan,3.222,3.234,0.012,7.966,0.404,False,False,False,0.864,0.629,0.236,,1-2k,-1.5,kyu_level,-4.5,64,48,58.603,0.2188,0.4844,0.6094,0.3906,5.156,0.3281,0.125,0.5469,0.2031,0.4195,0.25,48.8,4.541,2.968,2.968,1.04,3.908,9.079,12.654,26.735,4.782,3.018,0.4531,0.0781,30,34,0,2.02,5.674,4.541,0.6667,0.4412,0.5469,0.662,False,low_dan,0.67,0.67,False,False,,,,,,
2024-07-05_212002_时光与知识_vs_百年树w_1720185602030044101.sgf,fox_dan,B,时光与知识,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,7.39,7.479,0.089,7.439,0.993,False,False,False,2.014,1.722,0.291,,3-5k,-4.0,kyu_level,-7.0,87,48,40.269,0.2299,0.3563,0.4368,0.5632,6.241,0.3333,0.0345,0.4598,0.2759,0.3839,0.2644,39.6,5.85,3.754,3.754,2.057,4.436,10.519,15.451,24.604,5.587,1.682,0.5402,0.1264,30,50,7,1.815,5.553,15.525,0.7667,0.3,0.2857,1.364,False,low_dan,1.799,1.799,False,False,,,,,,
2024-07-05_212002_时光与知识_vs_百年树w_1720185602030044101.sgf,fox_dan,W,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,5.801,5.834,0.033,7.196,0.806,False,False,False,1.294,1.267,0.027,,1-2d,1.5,low_dan,-1.5,86,48,61.733,0.5116,0.6512,0.7209,0.2791,3.837,0.5465,0.0698,0.686,0.1512,0.6227,0.1628,33.8,4.333,2.166,2.166,0.0,1.943,5.131,13.767,23.587,4.692,1.276,0.314,0.0581,30,50,6,1.414,3.959,14.749,0.8667,0.6,0.5,1.326,False,mid_dan,1.328,1.266,False,False,,,,,,
2024-07-05_212943_V496791976_vs_百年树w_1720186183030034807.sgf,fox_dan,B,V496791976,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,3.025,3.242,0.217,5.608,0.539,False,False,False,0.759,0.642,0.117,,1-2k,-1.5,kyu_level,-4.5,90,48,58.363,0.2667,0.4444,0.5333,0.4667,5.567,0.3667,0.1111,0.6778,0.2667,0.5194,0.0556,24.1,1.634,0.994,0.994,0.678,1.483,2.372,3.919,4.438,1.171,4.945,0.3222,0.0,30,50,10,1.775,1.499,2.14,0.7667,0.62,0.7,0.953,False,mid_dan,0.94,0.663,False,False,,,,,,
2024-07-05_212943_V496791976_vs_百年树w_1720186183030034807.sgf,fox_dan,W,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,4.046,4.114,0.068,5.608,0.721,False,False,False,0.876,0.839,0.037,,1-2k,-1.5,kyu_level,-4.5,90,48,57.38,0.1667,0.3111,0.4444,0.5556,6.6,0.3222,0.1111,0.6667,0.3111,0.4728,0.0222,20.4,1.644,1.016,1.016,0.744,1.574,2.428,3.079,5.005,1.093,5.7,0.3333,0.0,30,50,10,2.165,1.375,1.687,0.7333,0.62,0.7,1.125,False,mid_dan,1.01,0.85,False,False,,,,,,
2024-07-07_214459_百年树w_vs_whr579_1720362385010001328.sgf,fox_dan,B,百年树w,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,1.297,1.469,0.171,5.608,0.231,False,False,False,0.461,0.234,0.227,,1-2d,1.5,low_dan,-1.5,90,48,68.081,0.4222,0.5778,0.6333,0.3667,4.489,0.4667,0.1111,0.6444,0.2778,0.5722,0.0778,34.5,2.797,1.486,1.486,0.379,2.285,3.788,4.988,17.749,2.737,6.794,0.3556,0.0222,30,50,10,1.801,3.031,2.754,0.8,0.56,0.6,0.779,False,mid_dan,0.687,0.251,False,False,,,,,,
2024-07-07_214459_百年树w_vs_whr579_1720362385010001328.sgf,fox_dan,W,whr579,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,6,mid_dan,4,12,5d-fox,5.0,mid_dan,1.846,1.852,0.006,5.608,0.329,False,False,False,0.665,0.386,0.28,,3-4d,3.5,low_dan,0.5,90,48,70.362,0.4111,0.6778,0.7556,0.2444,3.778,0.5111,0.0667,0.6889,0.2222,0.5861,0.0889,31.2,2.904,1.401,1.401,0.161,1.996,3.794,5.442,20.611,2.692,6.038,0.3111,0.0111,30,50,10,2.271,3.104,3.032,0.7333,0.72,0.4,1.033,False,mid_dan,0.89,0.42,False,False,,,,,,
2024-07-11_152753_无锋7_vs_海春轩33_1720682873030043018.sgf,fox_dan,B,无锋7,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,3.07,3.148,0.078,7.966,0.385,False,False,False,0.742,0.637,0.106,,1-2k,-1.5,kyu_level,-4.5,90,48,65.164,0.2667,0.4111,0.4667,0.5333,6.167,0.3333,0.1,0.6111,0.2778,0.4839,0.1111,40.0,5.066,2.694,2.694,0.813,2.489,5.296,10.311,37.299,6.417,10.797,0.3889,0.0556,30,50,10,1.583,6.04,2.214,0.8333,0.46,0.7,0.722,False,low_dan,0.653,0.653,False,False,,,,,,
2024-07-11_152753_无锋7_vs_海春轩33_1720682873030043018.sgf,fox_dan,W,海春轩33,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,3.003,3.091,0.089,7.966,0.377,False,False,False,0.667,0.649,0.018,,1-2k,-1.5,kyu_level,-4.5,90,48,56.56,0.3333,0.4556,0.5,0.5,5.689,0.4,0.0889,0.6111,0.2556,0.5117,0.1333,29.4,5.167,2.582,2.582,0.624,2.294,5.203,7.553,37.695,6.547,9.788,0.3889,0.0333,30,50,10,2.842,6.416,1.561,0.7667,0.54,0.5,0.692,False,low_dan,0.655,0.655,False,False,,,,,,
2024-07-11_160949_爱虎之狼_vs_无锋7_1720685389030012843.sgf,fox_dan,B,爱虎之狼,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,2.593,2.603,0.01,7.196,0.36,False,False,False,0.579,0.54,0.039,,1-2k,-1.5,kyu_level,-4.5,81,48,55.472,0.3086,0.5062,0.5802,0.4198,5.222,0.4321,0.037,0.5926,0.284,0.4932,0.1235,29.5,2.9,1.582,1.582,0.757,2.617,4.212,4.512,11.995,2.105,7.021,0.4074,0.0123,30,50,1,1.663,3.239,0.236,0.7667,0.48,1.0,0.678,False,mid_dan,0.717,0.55,False,False,,,,,,
2024-07-11_160949_爱虎之狼_vs_无锋7_1720685389030012843.sgf,fox_dan,W,无锋7,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,3.073,3.217,0.144,7.433,0.413,False,False,False,0.658,0.658,0.0,,1-2k,-1.5,kyu_level,-4.5,80,48,59.099,0.325,0.3875,0.425,0.575,6.287,0.3875,0.05,0.525,0.3375,0.4688,0.1375,40.8,2.759,1.632,1.632,1.055,2.551,4.608,5.878,8.054,2.031,7.846,0.475,0.0,30,50,0,1.72,3.065,2.759,0.7,0.42,0.525,0.638,False,low_dan,0.722,0.722,False,False,,,,,,
2024-07-11_165038_涛声twtaaa_vs_无锋7_1720687838030001872.sgf,fox_dan,B,涛声twtaaa,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,2,12,3d-fox,3.0,low_dan,2.261,2.306,0.045,7.433,0.304,False,False,False,0.538,0.499,0.039,,1-2k,-1.5,kyu_level,-4.5,90,48,55.699,0.2111,0.4444,0.5556,0.4444,5.567,0.3444,0.0667,0.5,0.3,0.4,0.2,44.1,3.37,2.122,2.122,1.176,3.575,5.771,8.253,10.333,2.647,5.364,0.5,0.0222,30,50,10,0.942,4.222,1.881,0.7667,0.34,0.5,0.487,False,low_dan,0.508,0.508,False,False,,,,,,
2024-07-11_165038_涛声twtaaa_vs_无锋7_1720687838030001872.sgf,fox_dan,W,无锋7,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.878,2.982,0.104,7.433,0.387,False,False,False,0.627,0.627,0.0,,1-2k,-1.5,kyu_level,-4.5,90,48,53.858,0.2778,0.3778,0.4889,0.5111,5.967,0.3222,0.0778,0.5222,0.2778,0.44,0.2,40.6,3.07,2.022,2.022,1.06,3.229,5.554,6.712,8.718,2.296,6.823,0.4778,0.0,30,50,10,1.68,3.841,1.556,0.7,0.38,0.7,0.502,False,low_dan,0.672,0.672,False,False,,,,,,
2024-07-12_080408_姚姚789_vs_无锋7_1720742648030034177.sgf,fox_dan,B,姚姚789,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,2.727,2.944,0.218,7.439,0.367,False,False,False,0.933,0.698,0.235,,3-5k,-4.0,kyu_level,-7.0,83,48,42.306,0.2771,0.4578,0.5301,0.4699,5.59,0.3133,0.0361,0.4458,0.4096,0.4108,0.1446,31.8,3.479,2.207,2.207,1.738,2.918,5.567,8.352,11.925,2.664,7.763,0.5542,0.0361,30,50,3,2.702,3.706,4.857,0.5333,0.4,0.3333,0.807,False,low_dan,0.788,0.788,False,False,,,,,,
2024-07-12_080408_姚姚789_vs_无锋7_1720742648030034177.sgf,fox_dan,W,无锋7,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.359,3.533,0.174,7.439,0.452,False,False,False,1.168,0.821,0.347,,3-5k,-4.0,kyu_level,-7.0,82,48,47.963,0.2195,0.2683,0.3659,0.6341,6.951,0.2683,0.0488,0.4024,0.3537,0.3555,0.2439,48.3,4.327,3.014,3.014,1.844,3.982,7.025,11.755,21.0,3.895,8.658,0.5976,0.061,30,50,2,3.292,4.714,2.988,0.6,0.28,0.5,1.026,False,low_dan,0.939,0.939,False,False,,,,,,
2024-07-12_100717_幽燕飞雪_vs_无锋7_1720750037030043889.sgf,fox_dan,B,幽燕飞雪,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,7,high_dan,4,12,5d-fox,5.0,mid_dan,2.439,2.457,0.018,5.608,0.435,False,False,False,0.753,0.472,0.281,,1-2d,1.5,low_dan,-1.5,80,48,64.135,0.3375,0.5125,0.55,0.45,5.162,0.4625,0.1,0.6875,0.2625,0.5563,0.05,25.0,1.99,1.042,1.042,0.347,1.542,3.305,3.993,6.804,1.48,6.583,0.3125,0.0,30,50,0,0.99,2.179,1.99,0.9,0.56,0.6875,0.977,False,high_dan,0.983,0.546,False,False,,,,,,
2024-07-12_100717_幽燕飞雪_vs_无锋7_1720750037030043889.sgf,fox_dan,W,无锋7,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,6,mid_dan,5,12,6d-fox,6.0,mid_dan,1.934,2.324,0.39,6.078,0.318,False,False,False,0.717,0.368,0.349,,3-4d,3.5,low_dan,0.5,79,48,70.63,0.443,0.5316,0.6329,0.3671,4.646,0.519,0.1266,0.7089,0.2152,0.6108,0.0759,27.5,2.67,1.208,1.208,0.174,1.315,3.301,4.213,27.186,3.233,6.947,0.2911,0.0127,30,49,0,1.265,2.959,2.67,0.8667,0.6122,0.7089,1.049,False,mid_dan,0.941,0.473,False,False,,,,,,
