sgf,sample_source,side,player,fox_rank,actual_rank_text,actual_rank_value,actual_group,model_rank_value,model_group,metric_rank_reassigned,metric_reassignment_method,metric_adjusted_rank_value,metric_adjusted_group,metric_nearest_rank_value,metric_nearest_group,metric_cluster_id,metric_cluster_k,metric_cluster_collection_class,metric_cluster_rank_median,metric_cluster_group,metric_cluster_distance,metric_cluster_second_distance,metric_cluster_margin,metric_cluster_radius_p90,metric_cluster_distance_ratio,metric_cluster_reassigned,twelve_d_style_rule_hit,twelve_d_style_rule_reassigned,metric_original_rank_distance,metric_nearest_rank_distance,metric_reassignment_margin,metric_reassignment_reason,strength,estimated_rank_value,estimated_group,numeric_error,samples,max_visits,quality_score,first_choice_rate,top3_rate,top5_rate,outside_top5_rate,average_ai_rank,excellent_rate,great_rate,good_move_rate,inaccuracy_rate,match_rate,mistake_rate,average_difficulty,weighted_point_loss,average_score_loss,average_score_equivalent_loss,median_score_loss,p75_score_equivalent_loss,p90_score_equivalent_loss,p95_score_equivalent_loss,max_score_equivalent_loss,loss_stddev,average_winrate_loss,bad_move_rate,blunder_rate,opening_samples,middlegame_samples,endgame_samples,opening_weighted_loss,middlegame_weighted_loss,endgame_weighted_loss,opening_good_move_rate,middlegame_good_move_rate,endgame_good_move_rate,robust_metric_distance,statistical_outlier,nearest_metric_group,actual_metric_distance,nearest_metric_distance,rank_mismatch_candidate,residual_core_four_outlier,residual_core_four_metric,residual_core_four_direction,residual_core_four_robust_z,residual_core_four_abs_robust_z,residual_core_four_value,residual_core_four_class_median
2026-06-08_203001_V快乐围棋V_vs_天下007008_1780921801030031509.sgf,fox_dan,B,V快乐围棋V,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,6,mid_dan,5,12,6d-fox,6.0,mid_dan,1.309,1.499,0.191,6.078,0.215,False,False,False,0.455,0.251,0.204,,1-2d,1.5,low_dan,-2.5,87,48,67.376,0.3448,0.6207,0.6667,0.3333,4.425,0.4943,0.1149,0.6667,0.1954,0.5414,0.1379,35.6,2.591,1.365,1.365,0.244,1.612,4.573,6.333,11.622,2.268,3.908,0.3333,0.0115,30,50,7,1.315,2.684,3.64,0.8333,0.58,0.5714,0.403,False,mid_dan,0.319,0.319,False,False,,,,,,
2026-06-08_203001_V快乐围棋V_vs_天下007008_1780921801030031509.sgf,fox_dan,W,天下007008,4段,4段,4,mid_dan,4,mid_dan,False,,4,mid_dan,3,low_dan,2,12,3d-fox,3.0,low_dan,2.687,2.862,0.176,7.433,0.361,False,False,False,0.617,0.556,0.06,,1-2k,-1.5,kyu_level,-5.5,86,48,59.515,0.2674,0.5,0.5581,0.4419,5.337,0.3256,0.1047,0.593,0.2791,0.4744,0.1279,35.9,3.099,1.806,1.806,0.868,2.376,5.41,7.45,11.591,2.468,4.732,0.407,0.0116,30,50,6,1.082,3.489,4.282,0.9,0.48,0.0,0.966,False,mid_dan,0.644,0.644,False,False,,,,,,
2026-06-08_203005_肖大侠客_vs_a533253650_1780921805030034303.sgf,fox_dan,W,a533253650,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,1,low_dan,1,12,2d-fox,2.0,low_dan,10.409,10.425,0.016,7.966,1.307,False,False,False,2.597,2.595,0.002,,3-5k,-4.0,kyu_level,-6.0,90,48,43.437,0.3,0.4778,0.5778,0.4222,5.244,0.3889,0.0444,0.4889,0.2111,0.425,0.3,44.0,9.322,5.916,5.916,1.248,5.967,17.252,27.033,66.061,11.38,8.273,0.5111,0.1778,30,50,10,2.586,10.666,11.231,0.6667,0.42,0.3,2.243,False,low_dan,2.643,2.643,False,False,,,,,,
2026-06-08_203612_嫣然wrb_vs_峰子0102_1780922172030051305.sgf,fox_dan,B,嫣然wrb,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,2.244,2.285,0.041,7.966,0.282,False,False,False,0.594,0.458,0.136,,1-2k,-1.5,kyu_level,-4.5,90,48,59.297,0.3556,0.4556,0.5,0.5,5.722,0.4,0.0889,0.5222,0.3,0.4772,0.1778,47.6,3.536,2.377,2.377,0.859,3.177,6.503,11.201,17.265,3.709,1.069,0.4778,0.0667,30,50,10,1.443,4.535,3.144,0.6667,0.52,0.1,0.479,False,low_dan,0.46,0.46,False,False,,,,,,
2026-06-08_203612_嫣然wrb_vs_峰子0102_1780922172030051305.sgf,fox_dan,W,峰子0102,3段,3段,3,low_dan,3,low_dan,False,,3,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,2.276,2.317,0.041,7.966,0.286,False,False,False,0.646,0.445,0.201,,1-2k,-1.5,kyu_level,-4.5,90,48,57.653,0.3222,0.4667,0.5556,0.4444,5.478,0.4,0.0222,0.5111,0.2778,0.4539,0.2111,49.6,3.668,2.598,2.598,1.061,3.577,8.081,10.603,14.516,3.569,1.851,0.4889,0.0667,30,50,10,1.887,4.578,3.137,0.7667,0.42,0.2,0.461,False,low_dan,0.463,0.463,False,False,,,,,,
2026-06-08_204243_抚仙湖uu_vs_逍遥垓下_1780922563030042687.sgf,fox_dan,B,抚仙湖uu,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,1,low_dan,0,12,1d-fox,1.0,low_dan,3.866,3.986,0.12,7.439,0.52,False,False,False,0.877,0.836,0.041,,3-5k,-4.0,kyu_level,-6.0,90,48,44.648,0.2889,0.3667,0.3889,0.6111,6.522,0.3333,0.0667,0.5,0.2444,0.4294,0.2556,36.2,3.428,2.271,2.271,1.194,4.022,6.287,8.073,10.34,2.643,0.93,0.5,0.0111,30,50,10,5.658,2.697,1.913,0.5,0.52,0.4,1.02,False,low_dan,0.892,0.892,False,False,,,,,,
2026-06-08_204243_抚仙湖uu_vs_逍遥垓下_1780922563030042687.sgf,fox_dan,W,逍遥垓下,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,3.292,3.36,0.068,7.196,0.457,False,False,False,0.876,0.712,0.164,,1-2k,-1.5,kyu_level,-3.5,90,48,58.085,0.3222,0.5667,0.6222,0.3778,4.722,0.4,0.1111,0.6111,0.1889,0.5,0.2,35.8,3.013,1.745,1.745,0.583,3.314,6.032,6.418,7.355,2.248,0.544,0.3889,0.0,30,50,10,4.629,2.49,1.673,0.6,0.64,0.5,0.818,False,mid_dan,0.852,0.721,False,False,,,,,,
2026-06-08_204304_暄暄2114_vs_峰子0102_1780922584030021185.sgf,fox_dan,B,暄暄2114,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,4,mid_dan,3,12,4d-fox,4.0,mid_dan,2.594,2.764,0.17,7.196,0.361,False,False,False,0.703,0.534,0.17,,3-4d,3.5,low_dan,1.5,90,48,69.882,0.3889,0.6667,0.6778,0.3222,4.078,0.4556,0.0778,0.6333,0.2111,0.5444,0.1556,47.3,3.126,1.921,1.921,0.406,2.005,6.402,10.265,14.932,3.364,7.484,0.3667,0.0556,30,50,10,2.708,3.593,0.199,0.7333,0.52,0.9,0.784,False,mid_dan,0.667,0.579,False,False,,,,,,
2026-06-08_204304_暄暄2114_vs_峰子0102_1780922584030021185.sgf,fox_dan,W,峰子0102,2段,2段,2,low_dan,2,low_dan,False,,2,low_dan,2,low_dan,1,12,2d-fox,2.0,low_dan,1.79,1.876,0.085,7.966,0.225,False,False,False,0.378,0.378,0.0,,1-2d,1.5,low_dan,-0.5,90,48,68.149,0.3111,0.5556,0.6222,0.3778,4.844,0.4,0.0444,0.5444,0.2333,0.4628,0.2222,58.0,3.814,2.634,2.634,1.055,3.761,8.103,9.279,16.394,3.669,9.24,0.4556,0.0333,30,50,10,3.165,4.261,2.401,0.8333,0.4,0.4,0.572,False,low_dan,0.396,0.396,False,False,,,,,,
2026-06-08_204428_丁真258_vs_加里翁_1780922668030061983.sgf,fox_dan,W,加里翁,6段,6段,6,mid_dan,6,mid_dan,False,,6,mid_dan,5,mid_dan,4,12,5d-fox,5.0,mid_dan,1.818,2.086,0.269,5.608,0.324,False,False,False,0.45,0.369,0.081,,1-2d,1.5,low_dan,-4.5,76,48,67.79,0.3289,0.5658,0.6579,0.3421,4.474,0.4211,0.1053,0.6184,0.2368,0.5118,0.1447,41.9,2.628,1.476,1.476,0.494,1.906,4.343,6.25,8.619,2.11,2.549,0.3816,0.0,30,46,0,2.242,2.719,2.628,0.8333,0.4783,0.6184,0.369,False,mid_dan,0.382,0.382,False,False,,,,,,
